Model,Jumlah Topik,Alpha,Beta,Accuracy
Decission Tree,2,0.1,0.2,0.568075117370892
Decission Tree,3,0.1,0.2,0.38967136150234744
Decission Tree,4,0.1,0.2,0.5821596244131455
Decission Tree,5,0.1,0.2,0.7230046948356808
Decission Tree,6,0.1,0.2,0.5539906103286385
Decission Tree,7,0.1,0.2,0.5352112676056338
Decission Tree,8,0.1,0.2,0.5727699530516432
Decission Tree,9,0.1,0.2,0.6150234741784038
Decission Tree,10,0.1,0.2,0.49295774647887325
Naive Bayes,2,0.1,0.2,0.39906103286384975
Naive Bayes,3,0.1,0.2,0.4225352112676056
Naive Bayes,4,0.1,0.2,0.5446009389671361
Naive Bayes,5,0.1,0.2,0.3474178403755869
Naive Bayes,6,0.1,0.2,0.4647887323943662
Naive Bayes,7,0.1,0.2,0.5774647887323944
Naive Bayes,8,0.1,0.2,0.4084507042253521
Naive Bayes,9,0.1,0.2,0.5446009389671361
Naive Bayes,10,0.1,0.2,0.49765258215962443
Random Forest,2,0.1,0.2,0.568075117370892
Random Forest,3,0.1,0.2,0.568075117370892
Random Forest,4,0.1,0.2,0.4131455399061033
Random Forest,5,0.1,0.2,0.6384976525821596
Random Forest,6,0.1,0.2,0.8826291079812206
Random Forest,7,0.1,0.2,0.4272300469483568
Random Forest,8,0.1,0.2,0.431924882629108
Random Forest,9,0.1,0.2,0.5492957746478874
Random Forest,10,0.1,0.2,0.6619718309859155
SVM,2,0.1,0.2,0.6009389671361502
SVM,3,0.1,0.2,0.5211267605633803
SVM,4,0.1,0.2,0.431924882629108
SVM,5,0.1,0.2,0.6197183098591549
SVM,6,0.1,0.2,0.5774647887323944
SVM,7,0.1,0.2,0.7793427230046949
SVM,8,0.1,0.2,0.539906103286385
SVM,9,0.1,0.2,0.6103286384976526
SVM,10,0.1,0.2,0.5446009389671361
